SN,TITLE,CONTENT_lick,DATE
193479.0,공원 진출입로 설치 요청,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193479,2022-11-03 14:24:47.0
193478.0,장애인수급자차상위급여똑같이,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193478,2022-11-03 08:39:11.0
193477.0,어린이들 버스비 500원으로,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193477,2022-11-03 08:25:49.0
193476.0,혼잡한 골목길 안전전광판 설치,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193476,2022-11-02 22:42:26.0
193475.0,365 열린 어린이집 긴급 보육교사 휴일근무 수당에 대한 제안,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193475,2022-11-02 16:14:04.0
193474.0,지하철 및 공공장소 에스카레이터 사용 방법(사용 규칙 지키기) 홍보하기,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193474,2022-11-02 13:13:31.0
193473.0,이태원 재개발 필요합니다,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193473,2022-11-02 12:42:06.0
193472.0,지하철 역사내 차량도착안내 전광판  개선,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193472,2022-11-02 10:56:30.0
193471.0,뇌물500억 서울시장이 154명죽였다.간첩이니 사퇴안하겠지? 책임지고 사퇴하라.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193471,2022-11-02 02:06:42.0
193470.0,인국 밀집 지역 혼잡도 신호등 설치,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193470,2022-11-01 22:42:21.0
193469.0,이태원 참사를 잊지 않기 위하여 용산 이태원 현장에 추모비 건립 추진,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193469,2022-11-01 18:51:28.0
193468.0,유흥가 인구밀집지역에 차량통행 제한,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193468,2022-11-01 13:01:47.0
193467.0,우이신설선 개선,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193467,2022-11-01 11:10:07.0
193466.0,택시 심야 시간 기사부족 문제,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193466,2022-11-01 11:03:06.0
193465.0,지하철역 개찰구 입구와  출구 분리 (환승역은 심각함),https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193465,2022-11-01 10:47:32.0
193464.0,이태원참사 재발방지 아이디어,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193464,2022-11-01 00:39:18.0
193463.0,이태원 참사 사건 관련 심리 지원 방안을 마련해주세요.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193463,2022-10-31 17:26:08.0
193462.0,이태원 사고 해외 사고자 수습 방안,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193462,2022-10-31 16:59:13.0
193461.0,안전안내문자,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193461,2022-10-31 12:26:50.0
193460.0,"대한민국 수도 &#34;서울&#34;을 방문하는 외래관광객들의 &#39;관광 만족도&#39;를 높이고, 소상공인의 &#39;매출증대&#39;를 가져다 주는 스마트 QR 메뉴 &#39;케이플’을 제안합니다.",https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193460,2022-10-31 12:18:31.0
193459.0,이태원 참사 서울시 책임이 크다는걸 공감해 주셨으면 좋겠습니다.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193459,2022-10-31 11:32:11.0
193457.0,보행자 밀집도 정보 제공 필요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193457,2022-10-30 23:14:58.0
193456.0,오세훈은 이태원 사태에 대한 책임을 분명히 지어야 할것이다.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193456,2022-10-30 22:57:51.0
193455.0,재개발 재건축,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193455,2022-10-30 19:24:25.0
193454.0,인도에서 흡연 및 오토바이. 유모차 끌고다니기 무섭다,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193454,2022-10-30 18:02:51.0
193452.0,교통약자를 위한 신호등횡단신호 지연정책,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193452,2022-10-28 19:40:18.0
193451.0,지하철 방향의 혼선을 막기 위한 색상 스티커 부착제,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193451,2022-10-28 18:47:36.0
193448.0,3422 지선버스 노선 관련,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193448,2022-10-28 13:56:55.0
193446.0,위치안내판 설치 제안,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193446,2022-10-28 13:32:14.0
193445.0,교통안전 제안,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193445,2022-10-28 13:26:51.0
193444.0,특별교통이동수단(장애인휠체어) 차량모델 변경을 통한 사업예산 절감 제안,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193444,2022-10-28 11:32:20.0
193443.0,대중교통 임산부석을 임산부가 앉을수있도록 배려해주세요!!,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193443,2022-10-28 09:30:47.0
193442.0,도곡중학생의 안전을 지켜주세요!!!!,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193442,2022-10-27 17:24:57.0
193441.0,서울도곡중학교 학생들의 운동장사용을 도와주세요!!!,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193441,2022-10-27 12:36:09.0
193439.0,반려견운동장 조성건의드려요~!,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193439,2022-10-26 17:55:09.0
193437.0,마포문화원 민화회원전 홍보제안,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193437,2022-10-26 15:37:55.0
