,store,sido,gungu,store_address
991,하성점,경기도,김포시,경기도 김포시 하성면 애기봉로806번길 67
992,하소동점,충청북도,제천시,충청북도 제천시 용두대로21길 9(하소동)
993,하안1점,경기도,광명시,"경기도 광명시 안현로 19(하안동, 단지상가 111호)"
994,하안5점,경기도,광명시,경기도 광명시 가림로 38
995,하안7점,경기도,광명시,경기도 광명시 금당로 11-24
996,하안9점,경기도,광명시,경기도 광명시 안현로 51
997,학다리점,강원도,홍천군,강원도 홍천군  홍천읍 꽃뫼로 120
998,학성점,강원도,원주시,강원도 원주시 천사로 164(일산동)
999,학익점,인천광역시,미추홀구,인천광역시 미추홀구 한나루로 465
1000,학장점,부산광역시,사상구,부산광역시 사상구 학감대로 129
1001,한대역점,경기도,안산시상록구,"경기도 안산시상록구 용신로 246, 101호"
1002,한림점,제주특별자치도,제주시,제주특별자치도 제주시 한림중앙로 3-1
1003,한솔새롬점,세종특별자치시,새롬북로,세종특별자치시  새롬북로 13
1004,한신점,인천광역시,서구,인천광역시 서구 서곶로 12 한신종합상가 208호
1005,한아름점,경기도,부천시원미구,경기도 부천시원미구 부흥로 100
1006,한주점,경기도,의정부시,경기도 의정부시 평화로322번길 18(호원동)
1007,함백점,강원도,정선군,강원도 정선군  신동읍 함백로 319
1008,함양점,경상남도,함양군,경상남도 함양군 함양읍 용평길 5
1009,함평점,전라남도,함평군,전라남도 함평군 함평읍 광남길 83
1010,합덕점,충청남도,당진시,충청남도 당진시 합덕읍 합덕시장로 176
1011,합정동점,서울특별시,마포구,서울특별시 마포구 포은로 52(합정동)
1012,해남점,전라남도,해남군,전라남도 해남군 해남읍 중앙1로 98
1013,해도점,경상북도,포항시남구,경상북도 포항시남구 해동로 90
1014,해미점,충청남도,서산시,충청남도 서산시 해미면 남문5로 4
1015,해방촌점,서울특별시,용산구,서울특별시 용산구 소월로20길 28-1
1016,해운대좌동주공2,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 118 주공2단지 분산상가 나-105
1017,향남점,경기도,화성시,경기도 화성시 향남읍 향남로 430-16
1018,혁신점,강원도,원주시,"강원도 원주시 건강로 17-3, 101호(반곡동 치악프라자)"
1019,혁신점(충북),충청북도,진천군,"충청북도 진천군 덕산읍 시가로 46,  113호"
1020,현리점,경기도,가평군,"경기도 가평군 조종면 현창로 50, 1층"
